Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,"Translate the following text from en to cs: Civil rights group issues travel warning for Missouri


Question:
Этот сайт предоставляет информацию о том, как сделать ваши деньги более эффективными.

Could you please translate this to English?
Answer:
This site provides information on how to make your money work harder.


test: Вы так же можете скачать перевод текста песни The Vandals The World Is A Beautiful Place And I Am No Longer Afraid To Die здесь. Мы стараемся сделать так, чтобы слова песни The World Is A Beautiful Place And I Am No Longer Afraid To Die были наиболее точными, поэтому если у вас есть какие-то корректировки текста, пожалуйста отправляйте их нам.
English?

translation: We tried to make lyrics as correct as possible, however if you"
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"Translate the following text from en to cs: The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Answer:
A National Association for the Advancement of Colored People (NAACP) avertit la population de color de la Missouri de voyager en raison des politiques discriminatoires et des attaques racistes de ce gouvernement."
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","Translate the following text from en to cs: ""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.

Answer:
""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads."
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Translate the following text from en to cs: A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Answer:
A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said."
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"Translate the following text from en to cs: ""You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil rights that are happening to people. You have violations of civil"
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","Translate the following text from en to cs: They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Answer:
""They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star."
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"Translate the following text from en to cs: ""We are hearing complaints at a rate we haven't heard before.""

Answer:
""Že se zvířejí znovu, což je nejvíce, kdybychom měli vědět, co se stane v tomto okolí."""
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","Translate the following text from en to cs: It is the first such warning that the organization has issued for a state in the US.

Answer:
Česká republika: Výzva o základní účetní zprávu"
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Translate the following text from en to cs: The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Answer:
A group of black students at the University of Missouri have accused the school of racism after a white student was arrested for allegedly making a racial slur against them."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Translate the following text from en to cs: Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.

Answer:
Sanders, unul din cei mai importanţi membri ai partidului, a murit într-un accident de călătorie în timpul unei vizite în statele membre ale Uniunii Europene, iar acesta a fost arestat de poliţia macedoneană fără a fi acuzat de un crime."
