Source,Reference,Translation
Kaks mõjukat naist jagavad oma edu saladusi,Two Powerhouse Women Share Their Secrets for Success,Two beautiful women share their salad secrets.
Mis on ühist Barbara Corcoranil ja Laila Alil?,What do Barbara Corcoran and Laila Ali have in common?,What is the history of Barbara Corcoranil and Laila Alil?
Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"On paper, the women are from two very different worlds.","In this sentence, the Estonian word ""esmapilgul"" is not a recognized word. Therefore, I am unable to provide a translation."
"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank.","Businesswoman Barbara Corcoran transformed her modest savings of a thousand dollars into a billion-dollar real estate empire in New York City. This remarkable achievement occurred without the aid of traditional financing, as she showcased her expertise on the popular television show ""Shark Tank"" and captivated investors with her insightful business strategies."
"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume.","Laila Ali has followed in her father's footsteps and become the most successful female athlete, winning four consecutive championships. In addition to her competitive achievements, she has also taken on the roles of presenter, author, and commentator."
"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs.","Despite their unique business models (or perhaps because of them), TJ Maxx has recently hired a significant number of women to address the issue of stereotypes and the setting of unattainable goals for high-achievers."
"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations.","In the spring of this year, T.J. Maxx spoke to women across the country in various shops and discovered that 80% of them believe that society has assigned them stereotypical roles and expectations."
"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.",So they launched The Maxx You Project aimed at helping women break those barriers.,The Maxx You Project has come to an end and we are saying goodbye to this chapter in our lives.
"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman.","Corona and Ali know about it. They can potentially be at the top of their fields, but the process hasn't been smooth for anyone."
Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,"Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23.",Corcoran graduated from high school and college with mostly D grades and has worked at 20 different workplaces for a total of 23 years.
