Source,Reference,Translation
Kaks mõjukat naist jagavad oma edu saladusi,Two Powerhouse Women Share Their Secrets for Success,Two influential women share their educational secrets
Mis on ühist Barbara Corcoranil ja Laila Alil?,What do Barbara Corcoran and Laila Ali have in common?,What do Barbara Corcoran and Laila Ali have in common?
Esmapilgul on need naised pärit kahest täiesti erinevast maailmast.,"On paper, the women are from two very different worlds.","The translation of the Estonian text to English is:
    ""At first glance, these women seem to come from two completely different worlds."""
"New Yorgi kinnisvaramagnaat Barbara Corcoran suutis teisendada tuhande dollari suuruse laenu viie miljardi vääriliseks kinnisvaraettevõtteks, enne kui rakendas oma asjatundlikkust teleekraanil, osaledes ABC tõsielusarja ""Shark Tank"" investorite paneelis.","New York real-estate tycoon, Barbara Corcoran, turned a $1,000 loan into a $5 billion real estate business, before taking her expertise to the small screen, serving on the panel of investors on ABC's Shark Tank.","Barbara Corcoran, a real estate mogul from New York, managed to convert a $1,000 loan into a $5 billion real estate business before showcasing her expertise on the TV screen, participating in the ABC reality show ""Shark Tank"" as an investor panelist."
"Laila Ali on käinud oma isa jälgedes, saades neljakordse võitmatu tšempionina kõige edukamaks naispoksijaks, enne kui tema resümeesse lisandusid veel telesaatejuhi, autori ja kõneleja rollid.","Laila Ali followed in her father's footsteps, becoming the most successful female in women's boxing as a four-time undefeated champion before adding TV host, author and speaker to her resume.","Laila Ali has followed in her father's footsteps, becoming a four-time undefeated champion and the most successful female boxer, before adding roles as a television host, author, and speaker to her resume."
"Vaatamata nende unikaalsetele karjääriteekondadele (või ehk hoopis nende tõttu) värbas TJ Maxx ometi mõlemad naised, et nad aitaksid rääkida saalitäiele lootusrikastele ettevõtjatele stereotüüpide murdmisest ja kõrgelennuliste eesmärkide saavutamisest.","Yet despite (or perhaps because of) their unique career paths, TJ Maxx enlisted the help of both women to talk breaking stereotypes and accomplishing lofty goals to a ballroom full of hopeful entrepreneurs.","Despite their unique career paths (or perhaps because of them), TJ Maxx managed to recruit both women to talk about breaking stereotypes for entrepreneurs and achieving high goals."
"Eelmisel aastal kõneles T.J. Maxx sadadele naistele poodides üle riigi ja avastas, et 80 protsenti neist tunneb, et ühiskond on seadnud neile stereotüüpselt kindlad rollid ja ootused.","Last year, T.J. Maxx spoke to hundreds of women in stores across the country and discovered that 80 percent feel stereotyped by society into specific roles and expectations.","Last year, T.J. Maxx spoke to women across the country in its stores and found that 80% of them feel that society has assigned them stereotypical roles and expectations."
"Sellest tulenevalt tulid nad välja projektiga The Maxx You Project, et aidata naistel neid barjääre lõhkuda.",So they launched The Maxx You Project aimed at helping women break those barriers.,"Based on this, they came out with the project ""The Maxx You Project"" to help women break down barriers."
"Corcoron ja Ali teavad sellest nii mõndagi. Nad võivad küll olla praeguseks oma valdkonna tipus, aga teekond sinna ei olnud kummagi jaoks sujuv.","Which Corcoron and Ali know a thing or two about: They may be at the top of their games now, but it wasn't a smooth road to success for either woman.","Corcoron and Ali know something about it. They might be at the top of their field right now, but their journey there wasn't smooth for either of them."
Corcoran sai keskkoolis ja kolledžis hindeks peamiselt D-sid ja oli töötanud 23-aastaseks saades juba 20 töökohal.,"Corcoran earned straight D's in high school and college, hopped between 20 jobs by the time she turned 23.",Corcoran received mostly D grades in high school and college and had worked at 20 jobs by the age of 23.
